0,0,,0,0,0,0,0,0,0,0,0,0,,0
0,0,,0,0,0,0,0,0,0,0,0,0,,0
0,0,,0,0,0,0,0,0,0,0,0,0,,0
Product Id,Product Name,SegmentCategory,Sub-Category,Region Country,Shipping Date,Delivery Date,Unit Price,Unit Cost,Units Sold,Net Cost,Revenue,Net Profit,,
1,Carina Dou,Consumer;Furniture;,Bookcases,East Mexico,10/1/2022,3/19/2022,456.65,385.96,94,36280.24,42925.1,6644.86,,
2,Vinyl Sect,Consumer;Furniture;,Chairs,East Mexico,3/3/2022,9/7/2022,24.46,13.7,19,260.3,464.74,204.44,,
3,Xerox 1898,Corporate;Office Supplies;,Labels,East USA,1/30/2023,10/22/2022,184.43,155.04,58,8992.32,10696.94,1704.62,,
4,#10- 4 1/8,Consumer;Furniture;,Tables,East Mexico,11/20/2022,4/4/2022,17.75,15.91,23,365.93,408.25,42.32,,
5,Acco Banke,Consumer;Office Supplies;,Storage,Central Canada,12/4/2022,3/2/2022,47.8,37.8,54,2041.2,2581.2,540,,
6,Bretford R,Consumer;Furniture;,Furnishings,East Brazil,5/15/2022,10/25/2022,456.47,371.52,80,29721.6,36517.6,6796,,
7,Razer Tiam,Consumer;Office Supplies;,Art,East Brazil,8/16/2022,5/28/2022,183.88,165.08,65,10730.2,11952.2,1222,,
8,Cyber Acou,Consumer;Technology;,Phones,East Brazil,1/18/2023,8/31/2022,218.14,161.9,12,1942.8,2617.68,674.88,,
9,Avery Meta,Consumer;Office Supplies;,Binders,Central Canada,4/25/2022,9/11/2022,115.52,71.99,24,1727.76,2772.48,1044.72,,
9,Avery Meta,Consumer;Office Supplies;,Binders,Central Canada,4/25/2022,9/11/2022,115.52,71.99,24,1727.76,2772.48,1044.72,,
9,Avery Meta,Consumer;Office Supplies;,Binders,Central Canada,4/25/2022,9/11/2022,115.52,71.99,24,1727.76,2772.48,1044.72,,
10,Cyber Acou,Consumer;Office Supplies;,Appliances,East Mexico,7/12/2022,2/27/2022,302.58,252.66,34,8590.44,10287.72,1697.28,,
11,GBC VeloBi,Consumer;Furniture;,Tables,Central Mexico,6/14/2022,4/2/2022,301.45,224.82,53,11915.46,15976.85,4061.39,,
12,Bevis Oval,Consumer;Technology;,Phones,Central United States,3/18/2022,11/18/2022,192.38,140.91,8,1127.28,1539.04,411.76,,
13,Premier El,Consumer;Office Supplies;,Paper,Central Mexico,2/8/2023,2/25/2023,173.19,104.17,18,1875.06,3117.42,1242.36,,
14,BIC Brite ,Consumer;Office Supplies;,Binders,Central United States,10/11/2022,1/4/2023,443.63,356.03,57,20293.71,25286.91,4993.2,,
15,Cush Cases,Home Office;Office Supplies;,Appliances,Central Canada,7/29/2022,7/30/2022,197.81,105.37,5,526.85,989.05,462.2,,
16,Plantronic,Home Office;Office Supplies;,Binders,East Brazil,12/5/2022,1/11/2023,251.82,219.01,26,5694.26,6547.32,853.06,,
17,Avery 503,Consumer;Office Supplies;,Storage,East Brazil,2/18/2023,9/20/2022,148.82,93.81,30,2814.3,4464.6,1650.3,,
18,Ampad Gold,Consumer;Office Supplies;,Storage,Central Brazil,4/12/2022,3/13/2022,395.52,217.97,54,11770.38,21358.08,9587.7,,
19,Metal Fold,Consumer;Office Supplies;,Art,East Mexico,11/18/2022,7/4/2022,204.75,138.6,13,1801.8,2661.75,859.95,,
20,Spigen Sam,Consumer;Technology;,Phones,Central United States,4/24/2022,3/22/2022,261.67,135.28,83,11228.24,21718.61,10490.37,,
20,Spigen Sam,Consumer;Technology;,Phones,Central United States,4/24/2022,3/22/2022,261.67,135.28,83,11228.24,21718.61,10490.37,,
